FLIGHT_NUMBER,SCHEDULED_ARRIVAL,SCHEDULED_DEPARTURE,DESTINATION_AIRPORT,ORIGIN_AIRPORT
1630,15,2040,FLL,DFW
1224,1427,1040,HNL,LAX
1674,809,45,MIA,LAS
1650,2234,1935,ATL,ORD
5376,1343,1210,RDM,SFO
5109,1643,1535,DTW,ERI
319,959,830,EWR,BOS
943,2145,2015,DEN,HOU
1453,1740,1202,DFW,PDX
333,1209,645,IAH,SNA
2017,1605,1420,JFK,CLT
475,1143,940,DTW,LGA
4468,1902,1740,SLC,HLN
6421,959,845,BUR,SFO
2800,1655,1545,DFW,HOU
6149,1218,1157,ORD,DAY
216,1852,1553,AUS,DEN
715,1804,1559,JAX,DCA
1137,1145,1000,AUS,ATL
2576,1828,1704,RNO,LAX
858,1030,800,CLT,ALB
495,1750,1700,HOU,AUS
322,1900,1810,ITO,HNL
2338,2315,1840,OMA,LAS
197,2334,1731,ORD,SFO
4015,2110,1945,STL,BWI
592,1555,1401,DEN,BOI
5694,1158,1010,SBN,ORD
6116,1522,1230,MOT,DEN
2020,1818,1525,ORH,FLL
533,2217,1930,SEA,PSP
4740,1105,1000,SEA,GEG
790,1022,800,SLC,LAS
2377,2114,1938,STL,MSP
2279,1021,735,AUS,ORD
290,1432,1000,JFK,AUS
501,1851,1715,OMA,ORD
4608,930,840,SEA,PDX
5335,1212,1035,SFO,CEC
6351,2021,1846,RDM,DEN
2036,2251,2101,ABE,ATL
4358,835,645,MDW,PVD
2549,820,703,DFW,BPT
3145,1430,1243,JFK,CMH
1616,850,740,DFW,AUS
1535,1837,1705,MCI,DFW
1297,1540,1340,STL,SAT
4510,1036,930,MSP,CVG
1559,2308,1905,MIA,ORD
1255,1825,1255,DFW,SJC
4208,1350,1230,SMF,ONT
219,1920,1800,SFO,LAX
936,1146,931,ACY,RSW
1901,1514,1210,ATL,BOS
1121,705,600,DEN,DSM
2701,1150,1040,ROC,BWI
2452,1137,1002,RIC,ATL
1459,2100,1815,SFO,ORD
1075,1624,1045,JFK,DEN
477,1836,1615,PHX,LAX
3099,953,915,ACT,DFW
5268,1751,1655,SHV,ATL
5732,725,603,IAD,CAE
1678,1125,1015,LAS,RNO
4210,1300,1005,PHX,BNA
612,1221,1005,PHX,LAX
122,811,721,ITO,HNL
2984,1935,1911,ORD,DTW
4238,2055,1937,MOB,IAH
324,1432,1110,MCO,DFW
1959,2010,1740,TPA,DCA
801,1210,928,MCO,DTW
1764,925,610,MSP,DEN
1810,1327,1145,CLT,TPA
2009,2118,2010,MSY,CLT
219,2002,1840,SFO,LAX
5743,2325,2154,CAE,IAD
6332,1703,1431,FSD,DEN
1208,759,646,JFK,IAD
596,1344,729,IAH,SEA
5317,1744,1610,CEC,SFO
6358,920,739,DEN,IDA
4359,2035,1925,JAN,IAH
755,1910,1600,LAX,PHL
1780,842,700,CLT,IND
262,1548,1250,PHX,SFO
1556,1545,1025,MSY,LAS
315,1905,1425,DFW,LAS
678,1130,1015,ONT,DEN
6030,1206,1018,SBN,ORD
1236,2030,1726,SFO,IAD
122,525,50,PDX,ANC
2699,1005,855,STL,BNA
2853,950,730,DFW,GSO
1247,2200,2055,SAT,IAH
3008,1635,1625,ORD,IND
454,2255,2115,SLC,PHX
512,2109,1729,SFO,JFK
299,1458,1230,TPA,IAD
1760,1632,1435,FLL,CLT
2163,2125,2000,LGA,BOS
1983,1635,1045,MDW,SAN
3461,827,600,PDX,ONT
4304,2325,2040,MCO,BNA
416,2120,2020,LAS,BUR
2039,2122,1840,CLT,SJU
1766,1330,950,CLT,SAT
1615,2125,1905,BWI,PBI
